# RTL_ID 20111300
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: MyTest.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000200   ---        --------
               6   N   00000200   0000e101   00000204   x10_a0     00000000
               7   N   00000204   00004e01   00000206   ---        --------
               8   N   00000206   00000297   00000208   x28_t3     00000000
               9   N   00000208   fb828293   0000020c   x05_t0     00000208
              10   N   0000020c   30529073   00000210   x05_t0     000001c0
              11   N   00000210   00004505   00000214   ---        --------
              12   N   00000214   0000057e   00000216   x10_a0     00000001
              13   N   00000216   00054863   00000218   x10_a0     80000000
              14   N   00000218   0ff0000f   00000228   ---        --------
              17   N   00000228   00028d63   0000022c   x05_t0     00000000
              18   N   0000022c   10529073   00000246   ---        --------
              22   N   00000246   00020297   0000024a   ---        --------
              23   N   0000024a   00000297   0000024a   ---        --------
              24   N   0000024a   30008293   0000024e   x05_t0     0000024a
              26   N   0000024e   00009073   00000252   x05_t0     000002a0
              28   N   00000252   05622573   00000256   ---        --------
              30   N   00000256   34120073   0000025a   x10_a0     00000000
              33   N   0000025a   00000000   000002a0   ---        --------
              36   N   000002a0   00004301   000002a4   x07_t2     00000000
              37   N   000002a4   06731063   000002a6   x06_t1     00000000
              38   N   000002a6   4301038b   000002aa   ---        --------
              40   N   000002aa   06730313   000002ae   x07_t2     000007ff
              42   N   000002ae   7ff01a63   000002b2   x06_t1     000007ff
              44   N   000002b2   7ff0038b   000002b6   ---        --------
              46   N   000002b6   00006305   000002ba   x07_t2     00000fff
              47   N   000002ba   0000137d   000002bc   x06_t1     00001000
              48   N   000002bc   04731463   000002be   x06_t1     00000fff
              49   N   000002be   137d038b   000002c2   ---        --------
              51   N   000002c2   00006305   000002c6   x07_t2     00000fff
              52   N   000002c6   0000137d   000002c8   x06_t1     00001000
              53   N   000002c8   02731e63   000002ca   x06_t1     00000fff
              54   N   000002ca   137d838b   000002ce   ---        --------
              56   N   000002ce   00004301   000002d2   x07_t2     00000000
              57   N   000002d2   02731963   000002d4   x06_t1     00000000
              58   N   000002d4   000073fd   000002d8   ---        --------
              59   N   000002d8   0003830b   000002da   x07_t2     fffff000
              60   N   000002da   73fd1463   000002de   x06_t1     fffff000
              62   N   000002de   0003830b   000002e2   ---        --------
              64   N   000002e2   02730393   000002e6   x06_t1     ffffffff
              66   N   000002e6   fff31e63   000002ea   x07_t2     ffffffff
              68   N   000002ea   fff0000b   000002ee   ---        --------
              70   N   000002ee   00734333   000002f2   ---        --------
              72   N   000002f2   fff31863   000002f6   x06_t1     00000000
              74   N   000002f6   0063000f   000002fa   ---        --------
              76   N   000002fa   000085f2   000002fe   ---        --------
              77   N   000002fe   00004501   00000300   x11_a1     00000000
              78   N   00000300   00000073   00000302   x10_a0     00000000
              79   E   00000302   4501000f   000001c0   mstatus    00001800
              79   E   00000302   4501000f   000001c0   mepc       00000302
              79   E   00000302   4501000f   000001c0   mcause     0000000b
              79   E   00000302   4501000f   000001c0   mtval      00000000
              82   N   000001c0   000047a1   000001c4   x14_a4     0000000b
              83   N   000001c4   02f70263   000001c6   x15_a5     00000008
              84   N   000001c6   000047a5   000001ca   ---        --------
              85   N   000001ca   00f70f63   000001cc   x15_a5     00000009
              86   N   000001cc   000047ad   000001d0   ---        --------
              87   N   000001d0   00f70c63   000001d2   x15_a5     0000000b
              88   N   000001d2   47ad0713   000001ea   ---        --------
              92   N   000001ea   07130013   00000360   ---        --------
              95   N   00000360   d9428293   00000364   x05_t0     00000360
              96   N   00000364   00008282   00000368   x05_t0     000000f4
              97   N   00000368   00000013   000000f4   ---        --------
             100   N   000000f4   0000006f   000000f8   ---        --------
             101   N   000000f8   ffffffff   000000f8   ---        --------
